id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,fetched_timestamp
bittensor,tao,Bittensor,https://assets.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,635.484,4179429558.0,32,13358307460.0,66824329.0,646.43,561.0,56.25,9.71052,373128938.0,9.80293,6570295.0,21000000.0,21000000.0,757.6,-15.72764,2024-03-07T18:45:36.466Z,30.83,1970.87956,2023-05-14T08:57:53.732Z,,2024-04-10T07:59:35.006Z,-0.6472989115533169,9.710516183249892,11.633154157218533,2024-04-10 08:00:03
arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,1.48,3933412656.0,33,14821034268.0,414026535.0,1.58,1.45,-0.05641031344449022,-3.67045,-135999894.99638557,-3.342,2653939384.0,10000000000.0,10000000000.0,2.39,-37.95706,2024-01-12T12:29:59.231Z,0.744925,99.08069,2023-09-11T19:40:49.196Z,,2024-04-10T07:59:51.539Z,-0.1948860248991428,-3.670453898599322,-0.005837008720342578,2024-04-10 08:00:03
crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.147,3914973322.0,34,4407764701.0,25240527.0,0.153413,0.141376,-0.005304172290551219,-3.48806,-138533051.3260665,-3.41761,26645977639.5696,30000000000.0,,0.965407,-84.78322,2021-11-24T15:53:54.855Z,0.0121196,1112.11832,2019-02-08T00:00:00.000Z,,2024-04-10T07:59:54.737Z,-0.16832671237350125,-3.48806363540212,2.793827806522853,2024-04-10 08:00:03
immutable-x,imx,Immutable,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,2.64,3761772247.0,35,5287026700.0,55736272.0,2.8,2.59,-0.133688949815443,-4.81954,-187911705.02330637,-4.75764,1423019954.3898141,2000000000.0,2000000000.0,9.52,-72.23848,2021-11-26T01:03:01.536Z,0.378055,599.07304,2022-12-31T07:36:37.649Z,,2024-04-10T07:59:47.293Z,-0.05786104695896862,-4.819539615834567,-4.398443355479363,2024-04-10 08:00:03
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.13,3749656660.0,36,6494957558.0,119419922.0,0.136113,0.128301,-0.002521695346018871,-1.90517,-72070286.5908494,-1.8858,28866937464.9955,50001787000.7091,50001787000.7091,0.875563,-85.17113,2018-01-03T00:00:00.000Z,0.00047612,27169.4139,2015-03-05T00:00:00.000Z,,2024-04-10T07:59:51.598Z,-0.14798786838272845,-1.905171691761541,0.21112610538885102,2024-04-10 08:00:03
render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1696511529,9.332,3568864139.0,37,4972673042.0,137543220.0,9.96,9.19,-0.6185960996627067,-6.21644,-233624129.77725458,-6.14398,381861234.292815,532065943.572815,532065943.572815,13.53,-30.91177,2024-03-17T16:30:24.636Z,0.03665669,25409.33949,2020-06-16T13:22:25.900Z,,2024-04-10T07:59:55.378Z,-0.06693096060357524,-6.216436145556377,-4.840761175467331,2024-04-10 08:00:03
dogwifcoin,wif,dogwifhat,https://assets.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,3.505,3507341457.0,38,3507341457.0,474612372.0,4.01,3.37,-0.44889188096801425,-11.35301,-444707057.0730138,-11.25257,998926392.0,998926392.0,998926392.0,4.83,-27.122,2024-03-31T09:34:58.366Z,0.00155464,226106.78522,2023-12-13T07:13:50.873Z,,2024-04-10T08:00:01.474Z,-0.27814228242609973,-11.353014761118414,-14.485065533983915,2024-04-10 08:00:03
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.103,3476432641.0,39,5154914216.0,59180732.0,0.107968,0.101399,-0.003673679343660766,-3.44612,-125080550.46281004,-3.473,33719597405.8213,50000000000.0,50000000000.0,0.569229,-81.90271,2021-09-15T10:40:28.318Z,0.00986111,944.65961,2020-01-02T17:30:24.852Z,,2024-04-10T08:00:01.685Z,-0.12367146178052138,-3.446115467924069,-2.847094796004686,2024-04-10 08:00:03
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,57.354,3440210976.0,40,13529070315.0,8445182.0,58.62,56.23,-0.6716678597998111,-1.15754,-49055634.55934429,-1.4059,60000000.0,235957685.3,300000000.0,73.8,-22.3477,2024-03-14T00:30:12.502Z,0.580608,9770.68625,2019-01-14T00:00:00.000Z,,2024-04-10T07:59:44.559Z,0.005130089984184822,-1.157540420471729,-0.2330007850132169,2024-04-10 08:00:03
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.046,3325048209.0,41,3931875223.0,91716756.0,0.04600054,0.04328141,0.00054939,1.21524,25276581.0,0.76601,72714516834.0,85985041177.0,86712634466.0,0.280991,-83.74804,2021-04-19T01:08:21.675Z,0.00191713,2282.02337,2020-03-13T02:29:59.652Z,"{'times': 3.52724235004255, 'currency': 'eth', 'percentage': 352.724235004255}",2024-04-10T07:59:55.040Z,0.002027929064858787,1.2152363442396128,6.858778004222336,2024-04-10 08:00:03
first-digital-usd,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.0,3296899517.0,42,3296899517.0,10756110864.0,1.007,0.988962,0.00366624,0.36798,-76507198.32261753,-2.26795,3298025456.83,3298025456.83,,1.041,-3.90195,2023-10-23T22:55:15.103Z,0.942129,6.21815,2023-08-17T21:55:41.478Z,,2024-04-10T07:59:56.683Z,0.23711097151910798,0.3679822670161033,-0.13468912764886753,2024-04-10 08:00:03
kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.137,3152785492.0,43,3180424476.0,36385053.0,0.141115,0.134369,-0.004330786514634672,-3.07236,-106713764.19371176,-3.27393,23088387840.5108,23290792851.6033,28704026601.0,0.189044,-27.70298,2024-02-20T06:54:58.731Z,0.00017105,79802.45043,2022-05-26T14:42:59.316Z,,2024-04-10T07:59:36.377Z,0.34824261381012606,-3.072363308942042,4.850532019217873,2024-04-10 08:00:03
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,3393.989,3138846757.0,44,3318803615.0,123932823.0,3582.89,3318.27,-188.89746754928456,-5.27221,-172372533.19128704,-5.20571,924620.545754508,977631.036950888,1005577.0,6292.31,-46.04851,2021-05-03T21:54:29.333Z,168.36,1916.42096,2020-03-16T20:52:36.527Z,,2024-04-10T07:59:56.577Z,-0.08076343576386487,-5.272214062351481,-9.313089865215384,2024-04-10 08:00:03
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.329,3115008222.0,45,3553393081.0,86242957.0,0.348166,0.323199,-0.014302328323219315,-4.16983,-140225041.93373394,-4.30768,9457079862.3669,10788004319.0,10788004319.0,2.84,-88.40439,2021-02-12T07:28:45.775Z,0.052051,533.01336,2022-11-22T10:05:03.503Z,,2024-04-10T07:59:59.972Z,-0.3797382750110073,-4.169834340050057,-3.8021643433733057,2024-04-10 08:00:03
optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,3.037,3058714880.0,46,13056890182.0,247045649.0,3.27,2.98,-0.20023359508261285,-6.18585,-214122224.76792002,-6.5424,1006141600.0,4294967296.0,4294967296.0,4.84,-37.19068,2024-03-06T08:35:50.817Z,0.402159,656.58554,2022-06-18T20:54:52.178Z,,2024-04-10T07:59:50.202Z,-0.1959412254688685,-6.1858464488453615,-5.492174484352351,2024-04-10 08:00:03
injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,32.872,2961873488.0,47,3289427351.0,129402683.0,34.69,32.37,-1.8135613064002385,-5.22861,-166565388.6912284,-5.32423,90042222.33,100000000.0,,52.62,-37.49451,2024-03-14T15:06:22.124Z,0.657401,4903.15893,2020-11-03T16:19:30.576Z,,2024-04-10T07:59:47.709Z,0.3362137232278335,-5.22861338988129,-3.6427963120648146,2024-04-10 08:00:03
pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.0,2959023271.0,48,2959023271.0,506894247.0,7.42e-06,6.8e-06,-3.89764474457e-07,-5.25491,-158648241.89936113,-5.08868,420690000000000.0,420690000000000.0,420690000000000.0,1.064e-05,-33.84863,2024-03-14T07:01:12.472Z,5.5142e-08,12661.61695,2023-04-18T02:14:41.591Z,,2024-04-10T07:59:52.184Z,-0.1393621147888359,-5.254908147887197,-3.936227622016623,2024-04-10 08:00:03
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,1.007,2833995711.0,49,3209382430.0,725080497.0,1.042,0.943453,0.058706,6.19016,143457548.0,5.33193,2803634835.52659,3175000000.0,3175000000.0,3.46,-70.65724,2021-10-28T05:19:39.845Z,0.00190227,53248.94719,2020-03-13T02:25:38.280Z,"{'times': 32.56960151378177, 'currency': 'usd', 'percentage': 3256.9601513781768}",2024-04-10T07:59:48.955Z,-0.8852921726855244,6.190156254333711,14.247062187337825,2024-04-10 08:00:03
